recruitment_seq,address_seq1,address_seq2,address_seq3,career_end,career_start,education,major_task,qualifications,text_keyword,check_box_2507,check_box_2707,check_box_2810,check_box_2204,check_box_2205,check_box_2101,check_box_2108,check_box_2201,check_box_2501,check_box_2203,check_box_2109,check_box_2110,check_box_2302,check_box_2104,check_box_2105,check_box_3008,check_box_3099,check_box_2703,check_box_2299,check_box_2102,check_box_keyword_cnt,company_type_seq,supply_kind,employee,company_size,recruit_code,recruit_pop
R00074,3.0,0.0,0.0,276,46,4,2,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,4,2,8
R00075,3.0,0.0,0.0,89,0,2,2,2,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2.0,100.0,270.0,3,4,4
R00076,3.0,0.0,0.0,114,4,4,2,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,5,2.0,514.0,20.0,1,0,10
R00077,3.0,0.0,0.0,264,13,3,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,5.0,100.0,1000.0,2,0,18
R00078,3.0,0.0,0.0,190,24,4,2,2,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,4,4,5
R00079,3.0,0.0,0.0,307,15,4,2,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,9,0.0,0.0,0.0,4,0,6
R00080,3.0,0.0,0.0,227,38,4,2,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,4,4,10
R00081,3.0,0.0,0.0,84,0,2,2,2,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,4,0,5
R00082,3.0,0.0,0.0,156,38,4,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.0,402.0,525.0,2,2,18
R00083,3.0,0.0,0.0,147,0,4,2,2,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4.0,402.0,525.0,2,0,16
R00084,3.0,0.0,0.0,84,8,3,2,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2.0,402.0,90.0,3,0,9
R00085,3.0,0.0,0.0,156,20,4,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.0,100.0,270.0,3,3,10
R00086,3.0,0.0,0.0,105,48,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,4,3,5
R00087,5.0,0.0,0.0,168,31,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,4,3,20
R00088,3.0,0.0,0.0,72,18,4,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,4,2,5
R00089,3.0,0.0,0.0,203,0,2,2,2,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,0.0,0.0,0.0,4,0,18
R00090,3.0,0.0,0.0,142,0,2,2,2,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2.0,402.0,41.0,1,4,20
R00091,3.0,0.0,0.0,240,32,3,2,1,6,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0,4,4,15
R00092,3.0,0.0,0.0,180,45,3,2,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,4,4,8
R00093,3.0,0.0,0.0,84,0,3,8,2,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,4,0,7
R00094,3.0,0.0,0.0,132,8,4,2,2,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,4,4,11
R00095,3.0,0.0,0.0,228,32,3,2,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2.0,402.0,90.0,3,0,5
R00096,3.0,0.0,0.0,222,142,3,2,1,8,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2.0,100.0,100.0,3,4,8
R00097,3.0,0.0,0.0,252,25,4,2,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,8,0.0,0.0,0.0,4,0,15
R00098,3.0,0.0,0.0,36,0,4,8,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,4,0,9
R00099,3.0,0.0,0.0,51,0,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,4,3,7
R00100,3.0,0.0,0.0,68,0,4,8,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2.0,402.0,590.0,2,3,6
R00101,3.0,0.0,0.0,96,0,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,4,2,7
R00102,3.0,0.0,0.0,24,0,3,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,4,3,8
R00103,3.0,0.0,0.0,168,22,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,4,3,7
R00104,3.0,0.0,0.0,139,21,2,2,2,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,4,4,8
R00105,3.0,0.0,0.0,42,2,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,4,3,5
R00106,3.0,0.0,0.0,288,88,2,2,1,6,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0,4,0,18
R00107,3.0,0.0,0.0,150,0,4,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,4,2,12
R00108,3.0,0.0,0.0,227,12,2,2,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2.0,100.0,250.0,3,4,5
R00109,3.0,0.0,0.0,268,108,2,2,1,8,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,4,4,9
R00110,3.0,0.0,0.0,120,0,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,4,2,10
R00111,3.0,0.0,0.0,85,0,2,2,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.0,402.0,500.0,2,1,9
R00112,3.0,0.0,0.0,96,0,3,8,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,4,3,11
R00113,3.0,0.0,0.0,204,94,3,2,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2.0,402.0,60.0,3,0,4
R00114,3.0,0.0,0.0,88,6,3,7,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.0,100.0,200.0,3,3,2
R00115,3.0,0.0,0.0,192,48,4,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.0,402.0,390.0,2,3,7
R00116,3.0,0.0,0.0,152,0,3,2,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2.0,402.0,90.0,3,0,6
R00117,3.0,0.0,0.0,82,29,4,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,9.0,402.0,20.0,1,2,4
R00118,3.0,0.0,0.0,86,86,4,2,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2.0,402.0,590.0,2,0,1
R00119,3.0,0.0,0.0,240,102,3,2,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.0,402.0,150.0,3,2,11
R00120,3.0,0.0,0.0,192,26,3,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2.0,402.0,20.0,1,3,6
R00121,3.0,0.0,0.0,240,36,2,2,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,9,0.0,0.0,0.0,4,0,7
R00122,3.0,0.0,0.0,187,12,4,2,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,5,2.0,514.0,20.0,1,0,13
R00123,3.0,0.0,0.0,68,4,4,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,4,3,6
R00124,3.0,0.0,0.0,126,12,3,2,2,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2.0,402.0,41.0,1,4,7
R00125,3.0,0.0,0.0,216,8,4,2,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,4,0,7
R00126,3.0,0.0,0.0,168,13,4,2,2,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6,2.0,100.0,100.0,3,0,7
R00127,3.0,0.0,0.0,120,12,3,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.0,0.0,0.0,4,2,4
R00128,3.0,0.0,0.0,171,54,2,2,2,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,4,2,7
R00129,3.0,0.0,0.0,150,24,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,4,3,10
R00130,3.0,0.0,0.0,210,12,2,2,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,4,2,15
R00131,3.0,0.0,0.0,156,27,4,2,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4.0,402.0,525.0,2,0,6
R00132,2.0,0.0,0.0,216,96,4,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9.0,402.0,20.0,1,3,6
R00133,3.0,0.0,0.0,141,72,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,4,3,3
R00134,3.0,0.0,0.0,134,15,2,2,2,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0,4,0,10
R00135,3.0,0.0,0.0,152,0,4,2,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.0,402.0,310.0,2,0,12
R00136,3.0,0.0,0.0,251,180,4,2,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0.0,0.0,0.0,4,0,6
R00137,3.0,0.0,0.0,72,0,4,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,4,2,7
R00138,3.0,0.0,0.0,120,0,3,2,2,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2.0,402.0,500.0,2,0,15
R00139,3.0,0.0,0.0,204,60,4,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,4,3,6
R00140,3.0,0.0,0.0,151,54,4,2,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,4,0,9
R00141,3.0,0.0,0.0,245,166,2,2,1,8,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4.0,402.0,150.0,3,4,5
R00142,3.0,0.0,0.0,216,84,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.0,402.0,97.0,3,3,5
R00143,3.0,0.0,0.0,168,96,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.0,402.0,150.0,3,3,7
R00144,3.0,0.0,0.0,51,0,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,4,3,20
R00145,3.0,0.0,0.0,284,12,3,2,2,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,6,2.0,402.0,60.0,3,0,6
R00146,3.0,0.0,0.0,125,0,4,2,1,6,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,4,4,8
R00147,3.0,0.0,0.0,240,151,4,2,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2.0,514.0,20.0,1,0,8
R00148,3.0,0.0,0.0,307,30,3,2,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,4,0,7
R00149,3.0,0.0,0.0,169,17,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,4,2,20
R00150,3.0,0.0,0.0,288,0,3,2,2,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2.0,402.0,40.0,1,2,11
R00151,3.0,5.0,0.0,204,13,3,2,2,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0.0,0.0,0.0,4,2,8
R00152,3.0,0.0,0.0,48,23,4,2,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,8,0.0,0.0,0.0,4,0,3
R00153,3.0,0.0,0.0,216,0,2,2,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2.0,201.0,60.0,3,4,10
