resume_seq,reg_date,updated_date,degree,graduate_date,hope_salary,last_salary,job_code_seq1,career_job_code,hischool_type_seq,hischool_special_type,hischool_nation,hischool_gender,hischool_location_seq,univ_type_seq1,univ_type_seq2,univ_transfer,univ_location,univ_major_type,univ_score,language,score,job,certificate_cnt,career
U00079,20,11,4,1,2.0,1.0,7,4,21,1,0,3,10,3,5,0,10,19,2,0,2,0,3,6
U00080,20,5,4,0,0.0,0.0,7,2,21,1,2,3,5,5,5,0,3,3,2,0,0,1,3,6
U00081,17,8,4,1,3.0,3.0,7,4,21,1,2,1,14,3,5,0,14,3,3,5,3,9,1,4
U00082,19,7,4,0,0.0,0.0,7,4,0,0,1,0,0,5,5,0,3,4,3,5,3,0,2,6
U00083,19,6,4,2,3.0,3.0,7,4,21,1,0,2,15,3,5,0,15,10,1,5,3,9,2,5
U00084,20,11,5,1,0.0,0.0,7,4,21,1,0,3,6,0,0,0,0,10,1,5,3,5,3,6
U00085,18,2,4,2,0.0,0.0,7,4,0,0,1,0,0,0,0,0,0,9,1,5,3,5,0,5
U00086,17,8,4,2,0.0,4.0,7,4,0,0,1,0,0,5,5,0,3,5,3,5,3,7,0,5
U00087,14,7,4,1,3.0,3.0,2,4,21,1,0,1,5,5,5,0,3,5,3,0,0,1,1,2
U00088,19,4,4,1,0.0,2.0,7,4,21,2,0,1,10,5,5,0,3,9,4,5,3,5,0,2
U00089,20,11,4,0,0.0,0.0,7,3,21,1,0,2,11,5,5,0,11,9,3,5,3,5,4,6
U00090,20,5,4,3,4.0,4.0,7,4,0,0,1,0,0,3,5,0,18,23,2,5,3,9,0,1
U00091,20,10,4,2,0.0,5.0,7,4,21,1,2,1,3,5,5,0,5,13,3,5,3,10,1,5
U00092,16,3,4,1,0.0,2.0,7,3,21,1,0,1,3,5,5,0,5,0,1,5,3,5,2,2
U00093,20,4,4,0,2.0,1.0,7,4,21,1,0,3,5,5,5,0,5,9,3,5,3,5,2,6
U00094,20,11,4,1,0.0,4.0,7,1,21,1,0,2,5,5,5,0,5,9,2,5,3,5,2,4
U00095,20,5,4,0,0.0,0.0,7,2,21,1,2,3,9,5,5,0,9,9,3,5,3,3,0,6
U00096,7,5,4,1,0.0,6.0,7,4,21,1,0,3,18,3,5,0,10,0,2,5,3,0,1,5
U00097,20,4,4,1,0.0,2.0,7,1,21,1,2,3,3,5,5,0,4,8,3,0,1,10,5,2
U00098,17,0,4,1,0.0,0.0,7,4,21,2,2,1,3,5,5,0,3,3,2,5,3,9,2,2
U00099,20,9,4,1,2.0,1.0,7,2,0,0,1,0,3,5,5,0,3,9,3,5,3,0,0,6
U00100,20,0,4,2,4.0,4.0,7,4,20,3,2,1,3,5,5,0,3,19,3,5,3,10,0,5
U00101,20,8,4,0,0.0,1.0,7,4,21,1,0,2,13,5,5,0,13,19,2,0,1,0,4,6
U00102,8,9,4,2,0.0,8.0,7,4,0,0,1,0,7,5,5,0,3,4,1,5,3,5,1,0
U00103,13,10,4,1,8.0,6.0,7,4,21,1,2,1,3,5,5,0,3,9,2,5,3,5,1,5
U00104,19,0,4,0,0.0,0.0,7,4,21,1,2,3,11,5,5,0,11,19,2,5,3,0,4,6
U00105,19,4,4,2,5.0,5.0,7,1,21,1,0,1,7,5,5,0,7,17,2,5,3,7,2,0
U00106,19,1,5,1,2.0,0.0,7,3,21,1,2,3,3,0,0,0,0,9,3,5,3,3,2,6
U00107,20,10,4,1,0.0,3.0,7,4,21,1,2,3,3,5,5,0,3,9,1,5,3,0,2,2
U00108,20,10,3,1,0.0,5.0,7,4,0,0,1,0,0,5,10,0,5,9,3,5,3,10,0,5
U00109,19,0,4,0,0.0,0.0,7,4,21,1,2,1,5,5,5,0,3,9,1,5,3,1,3,6
U00110,20,6,4,1,2.0,2.0,7,4,21,2,2,2,3,5,5,0,3,8,3,5,3,7,2,6
U00111,19,2,4,1,1.0,1.0,7,4,21,1,0,1,3,0,0,0,0,9,4,0,0,5,1,6
U00112,17,8,4,1,2.0,2.0,7,3,0,0,1,0,0,5,5,0,17,9,2,5,3,3,1,6
U00113,19,8,4,1,0.0,2.0,7,1,21,1,0,2,5,5,5,0,3,9,3,5,3,7,1,6
U00114,17,10,4,1,0.0,2.0,7,4,21,2,0,2,18,3,5,0,7,19,3,5,3,5,1,2
U00115,18,3,4,1,0.0,2.0,2,1,21,1,0,3,13,5,5,0,5,8,3,5,3,4,2,6
U00116,19,6,4,0,0.0,3.0,7,4,21,1,2,2,3,5,5,0,5,3,3,5,3,10,3,2
U00117,8,10,4,2,6.0,6.0,2,1,21,1,0,1,3,5,5,0,3,13,2,5,3,10,2,0
U00118,20,10,4,2,0.0,2.0,7,4,0,0,1,0,0,0,0,0,0,9,3,0,1,6,3,4
U00119,17,0,4,0,0.0,2.0,7,4,21,1,2,1,5,4,5,0,13,4,1,5,3,0,2,6
U00120,11,0,4,1,0.0,3.0,7,4,21,1,0,1,3,5,5,0,10,4,3,5,3,10,2,5
U00121,15,4,4,1,3.0,2.0,7,4,21,1,2,3,10,5,5,0,11,20,2,5,3,0,0,2
U00122,20,2,4,1,2.0,2.0,7,1,2,4,0,1,7,3,5,0,9,19,3,5,3,5,4,6
U00123,12,2,4,1,0.0,3.0,7,4,0,0,1,0,0,5,5,0,18,19,4,5,3,5,0,4
U00124,20,4,4,1,4.0,4.0,7,4,21,1,2,3,11,5,5,0,5,9,1,5,3,5,0,5
U00125,20,3,4,1,1.0,1.0,7,4,0,0,1,0,7,0,0,0,0,7,3,5,3,9,0,2
U00126,19,0,3,2,2.0,3.0,4,4,21,1,0,1,14,5,5,0,3,9,4,5,3,5,1,4
U00127,15,1,4,2,3.0,3.0,7,4,21,1,0,3,4,5,5,0,4,5,2,5,3,1,1,5
U00128,20,10,4,1,2.0,2.0,7,4,21,1,0,1,5,5,5,0,4,17,2,0,0,10,1,6
U00129,19,2,4,1,0.0,2.0,7,3,0,0,1,0,0,0,0,0,0,9,2,5,3,1,0,6
U00130,18,2,4,2,4.0,4.0,7,4,0,0,1,0,0,3,5,0,8,19,2,5,3,8,0,5
U00131,0,7,5,3,0.0,0.0,7,4,21,1,2,3,3,5,5,0,3,9,3,5,3,1,0,3
U00132,17,0,4,2,2.0,2.0,2,4,21,1,2,3,3,5,5,0,3,3,2,5,3,1,1,4
U00133,18,2,4,1,2.0,2.0,7,4,0,0,1,0,0,5,5,0,4,4,3,5,3,10,7,2
U00134,19,10,4,1,0.0,0.0,7,4,21,1,0,1,12,5,5,0,11,4,2,5,3,5,0,6
U00135,20,10,4,1,0.0,1.0,7,4,0,0,1,0,5,5,5,0,18,9,2,5,3,5,1,6
U00136,20,9,4,0,0.0,0.0,7,4,21,1,0,3,18,5,5,0,3,5,1,5,3,0,4,6
U00137,20,7,4,1,0.0,0.0,7,1,21,1,2,2,15,5,5,0,15,19,3,5,3,5,1,6
U00138,20,7,3,1,0.0,0.0,7,2,21,1,0,2,5,5,10,0,5,0,3,5,3,10,2,6
U00139,20,6,4,1,0.0,2.0,7,4,21,1,2,2,15,5,5,0,15,19,3,5,3,10,2,6
U00140,17,11,3,1,0.0,1.0,7,4,0,0,1,0,0,0,0,0,0,9,1,5,3,5,0,6
U00141,18,0,4,1,3.0,3.0,7,4,0,0,1,0,17,5,5,0,3,3,4,0,0,7,1,2
U00142,18,8,5,1,3.0,2.0,7,3,21,1,0,1,3,5,5,0,3,9,3,5,3,5,1,2
U00143,17,8,4,0,3.0,3.0,7,4,21,1,0,2,4,3,5,1,4,9,2,5,3,5,2,2
U00144,20,10,4,1,2.0,2.0,7,4,21,1,0,1,3,5,5,0,5,9,1,5,3,5,1,6
U00145,20,5,5,1,2.0,2.0,7,4,21,1,0,3,6,5,5,0,6,9,1,5,3,0,0,6
U00146,18,0,4,1,2.0,0.0,7,4,21,1,0,1,5,5,5,0,3,9,2,5,3,6,1,6
U00147,15,4,4,1,0.0,4.0,7,4,21,1,2,3,3,5,5,0,3,4,2,5,3,9,4,5
U00148,20,10,3,0,0.0,2.0,7,4,21,1,0,2,3,5,5,0,3,9,3,5,3,0,1,6
U00149,19,11,4,1,0.0,2.0,7,3,0,0,1,0,0,5,5,0,5,17,2,5,3,3,4,6
U00150,19,5,4,1,0.0,0.0,7,5,0,0,1,0,3,5,5,0,5,3,3,5,3,0,6,6
U00151,20,9,2,0,0.0,0.0,7,4,21,1,2,1,4,5,5,0,18,22,4,5,3,7,0,6
U00152,18,1,4,1,4.0,3.0,7,4,21,1,0,3,17,5,5,0,3,4,2,0,0,0,3,4
U00153,20,4,4,1,0.0,3.0,7,4,0,0,1,0,0,5,5,0,4,3,1,5,3,10,2,6
U00154,9,3,4,1,0.0,3.0,7,4,21,1,2,3,3,5,5,0,3,4,1,5,3,5,2,4
U00155,19,10,4,0,2.0,0.0,7,3,21,1,0,3,15,5,5,0,15,9,3,5,3,3,2,6
U00156,20,5,5,1,0.0,0.0,7,2,21,2,0,2,11,0,0,0,0,9,4,5,3,1,0,6
U00157,14,9,4,2,2.0,2.0,7,4,21,1,2,3,0,5,5,0,8,9,3,5,3,5,1,4
U00158,20,6,4,0,0.0,1.0,7,4,21,1,2,3,7,5,5,0,7,9,1,5,3,5,2,6
U00159,19,7,4,1,0.0,0.0,4,4,0,0,1,0,12,5,5,0,7,19,4,5,3,5,1,4
U00160,12,8,4,1,0.0,0.0,7,4,21,1,2,1,3,5,5,0,3,9,1,5,3,5,5,2
U00161,20,5,4,3,8.0,8.0,7,4,19,3,2,1,3,5,5,0,3,9,2,5,3,0,0,3
U00162,15,9,4,1,0.0,0.0,7,5,21,1,2,3,5,5,5,0,3,19,2,5,3,6,1,6
U00163,20,6,4,1,2.0,2.0,4,3,21,1,0,3,14,5,5,0,3,9,2,5,3,5,0,2
U00164,17,2,4,1,0.0,0.0,7,3,21,1,0,1,5,5,5,0,3,9,1,5,3,5,2,2
U00165,14,4,4,0,0.0,4.0,7,2,0,0,1,0,0,5,5,0,13,3,3,5,3,0,4,4
U00166,8,10,4,1,0.0,7.0,7,4,21,1,2,2,3,5,5,0,5,19,3,5,3,0,3,5
U00167,18,3,4,0,3.0,3.0,7,3,0,0,1,0,0,0,0,0,0,9,3,5,3,5,0,6
U00168,18,1,4,1,0.0,0.0,7,5,0,0,1,0,0,0,0,0,0,20,2,5,3,0,0,6
U00169,16,4,2,0,0.0,0.0,7,4,21,1,0,1,5,5,5,0,3,19,4,5,3,0,0,4
U00170,20,5,3,1,2.0,2.0,7,2,21,1,2,1,5,5,10,0,5,9,1,5,3,7,2,4
U00171,15,0,4,3,0.0,0.0,7,4,21,2,0,2,14,5,5,0,5,3,4,5,3,1,0,0
U00172,18,3,4,0,2.0,2.0,7,4,21,1,0,1,11,5,5,0,11,4,2,5,3,5,5,6
U00173,19,6,3,0,0.0,0.0,7,4,21,1,2,2,10,3,6,1,3,9,4,5,3,5,1,2
U00174,19,2,4,1,0.0,4.0,7,2,21,1,2,2,11,3,5,0,11,5,2,2,0,1,0,2
U00175,20,7,4,1,0.0,0.0,2,4,21,1,0,1,5,5,5,0,5,4,4,0,2,1,2,6
U00176,20,11,3,0,0.0,0.0,7,2,21,1,2,2,5,5,10,0,3,9,3,5,3,5,1,6
U00177,20,2,4,1,2.0,0.0,7,1,0,0,1,0,0,5,5,0,8,17,4,5,3,0,0,6
U00178,20,8,4,1,3.0,3.0,7,4,21,1,2,3,15,5,5,0,15,19,2,5,3,1,0,5
U00179,17,6,4,2,4.0,4.0,4,4,21,1,2,3,7,5,5,0,18,4,2,5,3,5,0,5
U00180,15,5,4,2,0.0,4.0,2,1,21,1,2,3,7,3,6,0,3,0,4,5,3,4,1,0
U00181,20,9,4,1,2.0,2.0,7,5,21,1,0,3,7,5,5,0,17,4,1,5,3,8,0,2
U00182,19,2,4,1,2.0,3.0,7,4,21,1,0,1,5,5,5,0,5,19,4,5,3,0,0,6
U00183,19,7,4,1,2.0,3.0,7,4,21,1,2,3,11,3,5,0,11,19,2,5,3,5,4,6
U00184,17,5,4,0,3.0,2.0,6,1,21,1,0,2,3,5,5,0,5,3,3,5,3,10,1,4
U00185,20,4,4,1,0.0,0.0,7,4,18,1,2,3,8,5,5,0,8,9,4,5,3,5,1,2
U00186,20,2,4,1,1.0,2.0,7,4,21,1,2,1,3,5,5,0,3,9,2,5,3,5,3,6
U00187,19,4,4,1,0.0,2.0,7,3,21,1,2,1,6,3,6,0,3,4,4,5,3,5,0,2
U00188,19,8,4,0,2.0,1.0,7,1,0,0,1,0,5,5,5,0,17,5,3,5,3,7,2,6
U00189,20,1,5,1,3.0,2.0,7,4,21,1,2,3,3,5,5,0,5,19,3,5,3,5,1,2
U00190,16,9,4,2,5.0,5.0,7,2,0,0,1,0,0,0,0,0,0,3,2,5,3,10,0,5
U00191,19,1,2,0,0.0,0.0,7,4,21,1,2,2,3,5,7,0,3,5,2,5,3,10,1,2
U00192,20,8,4,1,0.0,0.0,7,4,21,1,0,1,5,0,0,0,0,9,3,5,3,5,7,6
U00193,18,10,4,0,3.0,2.0,7,3,21,1,0,3,12,5,5,0,7,9,2,5,3,5,1,2
U00194,5,5,4,1,8.0,6.0,7,4,21,1,2,1,5,5,5,0,3,7,3,0,0,0,1,5
U00195,20,11,4,0,0.0,0.0,7,4,21,1,0,1,3,5,5,0,3,9,2,5,3,0,2,6
U00196,19,10,4,1,0.0,0.0,7,4,21,1,2,3,13,0,0,0,0,0,1,5,3,0,3,6
U00197,12,1,4,2,4.0,4.0,6,2,20,3,2,1,3,5,5,0,5,3,2,5,3,10,1,5
U00198,20,10,4,0,2.0,2.0,7,4,21,1,2,3,15,3,5,0,15,3,3,0,2,0,2,6
U00199,18,7,4,1,3.0,3.0,2,1,0,0,1,0,0,4,5,0,3,8,1,5,3,6,2,2
U00200,14,2,4,2,3.0,3.0,4,4,21,1,2,3,9,5,5,0,7,9,3,5,3,5,2,4
U00201,20,7,4,1,0.0,5.0,7,2,21,1,2,1,5,5,5,0,17,21,4,5,3,7,0,5
U00202,20,4,4,0,0.0,0.0,7,4,21,1,2,3,8,3,5,0,8,19,2,5,3,5,2,6
U00203,14,8,4,1,0.0,4.0,7,4,20,3,2,1,5,5,5,0,17,9,3,5,3,7,3,5
U00204,17,2,4,1,0.0,0.0,7,4,0,0,1,0,0,5,5,0,17,22,3,5,3,10,2,5
U00205,18,2,4,2,0.0,0.0,7,4,21,1,2,2,3,5,5,0,3,4,2,5,3,0,0,5
U00206,18,6,4,1,0.0,0.0,7,4,21,1,0,3,17,5,5,0,17,9,1,5,3,5,4,6
U00207,10,3,4,1,0.0,4.0,7,4,21,1,2,2,3,5,5,0,3,3,2,5,3,7,4,5
U00208,18,3,4,1,1.0,1.0,4,3,21,1,0,3,17,5,5,0,10,4,3,5,3,5,0,6
U00209,11,4,4,1,3.0,3.0,7,5,21,1,0,1,5,5,5,0,3,9,3,5,3,0,1,2
U00210,19,4,4,2,0.0,3.0,4,4,0,0,1,0,3,5,5,0,3,4,2,5,3,5,2,4
U00211,20,2,4,2,4.0,4.0,7,4,21,1,2,2,3,3,5,0,4,5,1,5,3,7,1,5
U00212,20,5,4,2,4.0,3.0,4,4,21,1,2,3,3,5,5,0,3,4,2,5,3,1,0,5
U00213,19,3,4,1,3.0,2.0,7,4,21,1,2,2,15,0,0,0,0,3,3,5,3,0,1,6
U00214,19,7,4,2,2.0,2.0,4,1,21,1,0,2,10,5,5,0,10,9,2,5,3,5,1,5
U00215,20,9,4,1,0.0,0.0,7,4,16,4,2,3,5,0,0,0,0,5,3,0,0,0,0,6
U00216,20,2,5,1,2.0,1.0,7,4,21,1,2,3,11,5,5,0,11,9,2,0,1,5,0,6
U00217,19,10,4,2,2.0,2.0,7,4,0,0,1,0,3,3,5,0,3,9,2,5,3,10,1,4
U00218,19,9,4,1,0.0,1.0,4,4,21,1,2,3,3,5,7,0,3,5,2,5,3,0,1,6
U00219,20,0,4,1,4.0,3.0,7,4,21,2,0,1,18,5,5,0,10,9,2,5,3,5,1,4
U00220,16,7,4,1,0.0,2.0,2,1,21,1,2,3,10,5,5,0,10,8,3,2,0,4,3,2
U00221,20,1,4,1,0.0,0.0,7,4,0,0,1,0,0,0,0,0,0,9,1,5,3,0,1,6
U00222,19,7,4,2,0.0,0.0,7,4,21,1,0,1,3,5,5,0,3,4,3,5,3,5,2,4
U00223,19,11,4,2,0.0,2.0,7,0,0,0,1,0,0,5,5,0,11,9,2,5,3,5,0,2
U00224,15,5,4,1,0.0,3.0,7,4,21,1,2,2,13,5,5,0,10,5,2,5,3,10,1,2
U00225,19,4,4,1,3.0,3.0,7,4,21,1,2,2,11,5,5,0,11,8,3,5,3,1,1,2
U00226,19,6,4,1,4.0,4.0,7,4,0,0,1,0,0,5,5,0,10,3,2,5,3,7,1,5
U00227,13,11,4,0,5.0,5.0,7,2,0,0,1,0,0,5,5,0,3,3,2,0,2,7,3,4
U00228,14,0,4,1,0.0,0.0,7,3,21,1,2,1,8,5,5,0,8,9,1,5,3,5,0,5
U00229,19,1,4,1,1.0,1.0,7,3,21,1,2,3,12,5,5,0,12,4,2,5,3,5,0,6
U00230,18,0,4,0,2.0,2.0,7,3,21,1,0,1,13,5,5,0,5,9,4,5,3,5,2,6
U00231,12,2,4,1,0.0,0.0,7,4,21,1,2,3,3,5,5,0,3,0,3,5,3,0,2,5
U00232,19,2,4,0,0.0,0.0,7,4,21,1,0,1,9,5,5,0,7,8,3,2,0,3,2,6
U00233,17,4,4,2,0.0,6.0,2,2,21,1,2,2,10,5,5,0,3,8,2,5,3,0,0,5
U00234,17,2,4,3,3.0,4.0,7,4,0,0,1,0,0,5,5,0,18,8,1,5,3,9,1,5
U00235,20,4,4,0,0.0,0.0,7,4,21,1,0,1,5,5,5,0,5,3,4,5,3,0,4,6
U00236,20,10,4,1,0.0,0.0,7,3,21,1,0,3,13,5,5,0,17,9,2,5,3,5,3,6
U00237,18,7,4,1,0.0,0.0,7,1,21,1,0,1,10,5,5,0,10,9,1,5,3,3,3,6
U00238,20,11,5,1,0.0,1.0,7,4,21,1,2,2,8,3,5,0,15,4,1,0,0,0,5,6
U00239,18,5,3,2,0.0,5.0,7,4,0,0,1,0,0,5,10,0,10,20,1,5,3,9,1,0
U00240,19,10,4,1,3.0,3.0,7,4,21,1,0,3,11,3,5,0,11,7,3,5,3,0,2,6
U00241,17,1,4,1,3.0,3.0,6,2,8,4,0,1,11,3,6,0,3,5,3,5,3,7,5,5
U00242,19,0,4,0,1.0,1.0,7,4,21,2,0,1,0,5,5,0,10,9,2,5,3,0,3,6
U00243,14,9,4,1,0.0,0.0,7,2,23,3,0,1,13,3,6,0,3,5,4,5,3,10,0,0
U00244,15,4,4,1,0.0,2.0,7,4,0,0,1,0,8,5,5,0,8,9,2,5,3,1,0,2
