recruitment_seq,address_seq1,address_seq2,address_seq3,career_end,career_start,education,major_task,qualifications,text_keyword,check_box_keyword_cnt,company_type_seq,supply_kind,employee,company_size,recruit_code
R00033,3.0,0.0,0.0,0,0,2,2,1,1,4,2.0,514.0,20.0,1,2
R00034,3.0,0.0,0.0,0,0,2,2,2,4,2,2.0,100.0,145.0,3,3
R00035,3.0,0.0,0.0,0,0,4,2,1,1,3,2.0,100.0,250.0,3,2
R00036,3.0,0.0,0.0,0,0,4,2,2,1,2,4.0,402.0,525.0,2,2
R00037,3.0,0.0,0.0,0,0,3,2,1,1,5,0.0,0.0,0.0,4,0
R00038,3.0,0.0,0.0,0,0,3,2,1,1,2,0.0,0.0,0.0,4,3
R00039,3.0,0.0,0.0,0,0,3,2,1,8,5,0.0,0.0,0.0,4,0
R00040,3.0,0.0,0.0,0,0,3,2,1,1,3,2.0,100.0,145.0,3,4
R00041,3.0,0.0,0.0,0,0,3,2,1,1,3,9.0,402.0,19.0,1,2
R00042,3.0,0.0,0.0,0,0,2,2,1,1,5,2.0,201.0,20.0,1,0
R00043,3.0,0.0,0.0,0,0,4,2,1,1,2,0.0,0.0,0.0,4,3
R00044,3.0,0.0,0.0,0,0,3,2,1,4,2,0.0,0.0,0.0,4,3
R00045,3.0,0.0,0.0,0,0,2,2,2,1,8,0.0,0.0,0.0,4,3
R00046,3.0,0.0,0.0,0,0,3,2,2,1,8,0.0,0.0,0.0,4,0
R00047,3.0,0.0,0.0,0,0,2,2,1,1,4,0.0,0.0,0.0,4,4
R00048,3.0,0.0,0.0,0,0,3,2,1,1,2,0.0,0.0,0.0,4,3
R00049,3.0,0.0,0.0,0,0,3,2,1,1,4,0.0,0.0,0.0,4,0
R00050,3.0,0.0,0.0,0,0,4,2,1,1,4,0.0,0.0,0.0,4,1
R00051,3.0,0.0,0.0,0,0,4,2,1,1,4,2.0,402.0,260.0,3,0
R00052,3.0,0.0,0.0,0,0,4,2,1,1,3,0.0,0.0,0.0,4,2
R00053,3.0,0.0,0.0,0,0,4,2,1,1,6,2.0,402.0,41.0,1,2
R00054,3.0,0.0,0.0,0,0,4,2,1,1,9,0.0,0.0,0.0,4,0
R00055,3.0,0.0,0.0,0,0,2,2,1,1,2,0.0,0.0,0.0,4,3
R00056,3.0,5.0,0.0,0,0,2,2,2,1,5,2.0,100.0,270.0,3,3
R00057,3.0,0.0,0.0,0,0,2,2,1,1,4,0.0,0.0,0.0,4,2
R00058,3.0,0.0,0.0,0,0,4,2,1,1,4,0.0,0.0,0.0,4,0
R00059,3.0,0.0,0.0,0,0,2,2,1,1,5,0.0,0.0,0.0,4,0
R00060,3.0,0.0,0.0,0,0,4,2,1,8,5,2.0,402.0,310.0,2,0
R00061,3.0,0.0,0.0,0,0,4,2,1,1,6,0.0,0.0,0.0,4,0
R00062,3.0,0.0,0.0,0,0,2,2,1,1,1,2.0,402.0,5.0,1,3
R00063,3.0,0.0,0.0,0,0,4,2,2,1,4,0.0,0.0,0.0,4,4
R00064,3.0,0.0,0.0,0,0,2,7,1,1,1,0.0,0.0,0.0,4,3
R00065,3.0,0.0,0.0,0,0,2,2,1,1,1,0.0,0.0,0.0,4,2
R00066,3.0,0.0,0.0,0,0,2,2,2,1,5,3.0,502.0,200.0,3,2
R00067,3.0,0.0,0.0,0,0,4,2,2,1,6,0.0,0.0,0.0,4,0
R00068,3.0,0.0,0.0,0,0,4,2,1,1,2,0.0,0.0,0.0,4,3
R00069,3.0,0.0,0.0,0,0,3,2,1,1,5,0.0,0.0,0.0,4,0
R00070,3.0,0.0,0.0,0,0,4,8,1,1,2,5.0,402.0,300.0,3,3
R00071,3.0,0.0,0.0,0,0,3,2,1,1,2,4.0,201.0,50.0,1,3
R00072,3.0,0.0,0.0,0,0,3,2,1,1,4,0.0,0.0,0.0,4,4
R00073,3.0,0.0,0.0,0,0,3,2,2,1,3,0.0,0.0,0.0,4,3
R00074,3.0,0.0,0.0,0,0,4,2,1,1,5,0.0,0.0,0.0,4,2
R00075,3.0,0.0,0.0,0,0,2,2,2,1,4,2.0,100.0,270.0,3,4
R00076,3.0,0.0,0.0,0,0,4,2,1,1,5,2.0,514.0,20.0,1,0
R00077,3.0,0.0,0.0,0,0,3,2,1,1,8,5.0,100.0,1000.0,2,0
R00078,3.0,0.0,0.0,0,0,4,2,2,1,4,0.0,0.0,0.0,4,4
R00079,3.0,0.0,0.0,0,0,4,2,1,1,9,0.0,0.0,0.0,4,0
R00080,3.0,0.0,0.0,0,0,4,2,1,1,4,0.0,0.0,0.0,4,4
R00081,3.0,0.0,0.0,0,0,2,2,2,1,5,0.0,0.0,0.0,4,0
R00082,3.0,0.0,0.0,0,0,4,2,1,1,3,4.0,402.0,525.0,2,2
R00083,3.0,0.0,0.0,0,0,4,2,2,1,4,4.0,402.0,525.0,2,0
R00084,3.0,0.0,0.0,0,0,3,2,1,1,6,2.0,402.0,90.0,3,0
R00085,3.0,0.0,0.0,0,0,4,2,1,1,2,2.0,100.0,270.0,3,3
R00086,3.0,0.0,0.0,0,0,3,2,1,1,2,0.0,0.0,0.0,4,3
R00087,5.0,0.0,0.0,0,0,3,2,1,1,2,0.0,0.0,0.0,4,3
R00088,3.0,0.0,0.0,0,0,4,2,1,1,2,0.0,0.0,0.0,4,2
R00089,3.0,0.0,0.0,0,0,2,2,2,1,6,0.0,0.0,0.0,4,0
R00090,3.0,0.0,0.0,0,0,2,2,2,1,4,2.0,402.0,41.0,1,4
R00091,3.0,0.0,0.0,0,0,3,2,1,6,6,0.0,0.0,0.0,4,4
R00092,3.0,0.0,0.0,0,0,3,2,1,1,4,0.0,0.0,0.0,4,4
R00093,3.0,0.0,0.0,0,0,3,8,2,1,4,0.0,0.0,0.0,4,0
R00094,3.0,0.0,0.0,0,0,4,2,2,1,4,0.0,0.0,0.0,4,4
R00095,3.0,0.0,0.0,0,0,3,2,1,1,6,2.0,402.0,90.0,3,0
R00096,3.0,0.0,0.0,0,0,3,2,1,8,4,2.0,100.0,100.0,3,4
R00097,3.0,0.0,0.0,0,0,4,2,1,1,8,0.0,0.0,0.0,4,0
R00098,3.0,0.0,0.0,0,0,4,8,1,1,3,0.0,0.0,0.0,4,0
R00099,3.0,0.0,0.0,0,0,2,2,1,1,2,0.0,0.0,0.0,4,3
R00100,3.0,0.0,0.0,0,0,4,8,1,1,3,2.0,402.0,590.0,2,3
R00101,3.0,0.0,0.0,0,0,3,2,2,1,3,0.0,0.0,0.0,4,2
R00102,3.0,0.0,0.0,0,0,3,2,1,1,3,0.0,0.0,0.0,4,3
R00103,3.0,0.0,0.0,0,0,2,2,2,1,1,0.0,0.0,0.0,4,3
R00104,3.0,0.0,0.0,0,0,2,2,2,1,4,0.0,0.0,0.0,4,4
R00105,3.0,0.0,0.0,0,0,3,2,1,1,2,0.0,0.0,0.0,4,3
R00106,3.0,0.0,0.0,0,0,2,2,1,6,6,0.0,0.0,0.0,4,0
R00107,3.0,0.0,0.0,0,0,4,1,1,1,3,0.0,0.0,0.0,4,2
R00108,3.0,0.0,0.0,0,0,2,2,1,1,4,2.0,100.0,250.0,3,4
R00109,3.0,0.0,0.0,0,0,2,2,1,8,4,0.0,0.0,0.0,4,4
R00110,3.0,0.0,0.0,0,0,2,2,2,1,3,0.0,0.0,0.0,4,2
R00111,3.0,0.0,0.0,0,0,2,2,2,1,4,2.0,402.0,500.0,2,1
R00112,3.0,0.0,0.0,0,0,3,8,1,1,2,0.0,0.0,0.0,4,3
R00113,3.0,0.0,0.0,0,0,3,2,1,1,5,2.0,402.0,60.0,3,0
R00114,3.0,0.0,0.0,0,0,3,7,1,1,2,2.0,100.0,200.0,3,3
R00115,3.0,0.0,0.0,0,0,4,2,1,1,3,2.0,402.0,390.0,2,3
R00116,3.0,0.0,0.0,0,0,3,2,1,1,6,2.0,402.0,90.0,3,0
R00117,3.0,0.0,0.0,0,0,4,2,1,1,2,9.0,402.0,20.0,1,2
R00118,3.0,0.0,0.0,0,0,4,2,1,1,4,2.0,402.0,590.0,2,0
R00119,3.0,0.0,0.0,0,0,3,2,1,1,3,4.0,402.0,150.0,3,2
R00120,3.0,0.0,0.0,0,0,3,2,1,1,5,2.0,402.0,20.0,1,3
R00121,3.0,0.0,0.0,0,0,2,2,1,1,9,0.0,0.0,0.0,4,0
R00122,3.0,0.0,0.0,0,0,4,2,1,1,5,2.0,514.0,20.0,1,0
R00123,3.0,0.0,0.0,0,0,4,2,1,1,2,0.0,0.0,0.0,4,3
R00124,3.0,0.0,0.0,0,0,3,2,2,1,4,2.0,402.0,41.0,1,4
R00125,3.0,0.0,0.0,0,0,4,2,1,1,7,0.0,0.0,0.0,4,0
R00126,3.0,0.0,0.0,0,0,4,2,2,1,6,2.0,100.0,100.0,3,0
R00127,3.0,0.0,0.0,0,0,3,2,2,1,2,0.0,0.0,0.0,4,2
R00128,3.0,0.0,0.0,0,0,2,2,2,1,4,0.0,0.0,0.0,4,2
R00129,3.0,0.0,0.0,0,0,2,2,1,1,3,0.0,0.0,0.0,4,3
R00130,3.0,0.0,0.0,0,0,2,2,1,1,3,0.0,0.0,0.0,4,2
R00131,3.0,0.0,0.0,0,0,4,2,1,1,4,4.0,402.0,525.0,2,0
R00132,2.0,0.0,0.0,0,0,4,2,1,1,2,9.0,402.0,20.0,1,3
R00133,3.0,0.0,0.0,0,0,3,2,2,1,2,0.0,0.0,0.0,4,3
R00134,3.0,0.0,0.0,0,0,2,2,2,1,6,0.0,0.0,0.0,4,0
R00135,3.0,0.0,0.0,0,0,4,2,2,1,2,2.0,402.0,310.0,2,0
R00136,3.0,0.0,0.0,0,0,4,2,1,1,7,0.0,0.0,0.0,4,0
R00137,3.0,0.0,0.0,0,0,4,2,1,1,2,0.0,0.0,0.0,4,2
R00138,3.0,0.0,0.0,0,0,3,2,2,1,4,2.0,402.0,500.0,2,0
R00139,3.0,0.0,0.0,0,0,4,2,1,1,3,0.0,0.0,0.0,4,3
R00140,3.0,0.0,0.0,0,0,4,2,1,1,5,0.0,0.0,0.0,4,0
R00141,3.0,0.0,0.0,0,0,2,2,1,8,4,4.0,402.0,150.0,3,4
R00142,3.0,0.0,0.0,0,0,3,2,1,1,2,2.0,402.0,97.0,3,3
R00143,3.0,0.0,0.0,0,0,3,2,1,1,2,4.0,402.0,150.0,3,3
R00144,3.0,0.0,0.0,0,0,2,2,2,1,2,0.0,0.0,0.0,4,3
R00145,3.0,0.0,0.0,0,0,3,2,2,1,6,2.0,402.0,60.0,3,0
R00146,3.0,0.0,0.0,0,0,4,2,1,6,4,0.0,0.0,0.0,4,4
R00147,3.0,0.0,0.0,0,0,4,2,1,1,5,2.0,514.0,20.0,1,0
R00148,3.0,0.0,0.0,0,0,3,2,1,1,5,0.0,0.0,0.0,4,0
R00149,3.0,0.0,0.0,0,0,3,2,1,1,4,0.0,0.0,0.0,4,2
R00150,3.0,0.0,0.0,0,0,3,2,2,1,4,2.0,402.0,40.0,1,2
R00151,3.0,5.0,0.0,0,0,3,2,2,1,6,0.0,0.0,0.0,4,2
R00152,3.0,0.0,0.0,0,0,4,2,1,1,8,0.0,0.0,0.0,4,0
R00153,3.0,0.0,0.0,0,0,2,2,1,1,4,2.0,201.0,60.0,3,4
R00154,3.0,0.0,0.0,0,0,2,2,1,1,4,0.0,0.0,0.0,4,2
R00155,3.0,0.0,0.0,0,0,4,2,1,1,3,2.0,100.0,22.0,1,3
R00156,3.0,0.0,0.0,0,0,3,2,2,1,6,0.0,0.0,0.0,4,0
R00157,3.0,0.0,0.0,0,0,3,2,1,1,2,0.0,0.0,0.0,4,3
R00158,3.0,0.0,0.0,0,0,4,2,2,1,2,4.0,402.0,525.0,2,3
R00159,3.0,0.0,0.0,0,0,4,2,2,1,4,0.0,0.0,0.0,4,0
R00160,3.0,0.0,0.0,0,0,4,2,1,1,5,0.0,0.0,0.0,4,0
R00161,3.0,0.0,0.0,0,0,2,2,1,1,5,0.0,0.0,0.0,4,0
R00162,3.0,0.0,0.0,0,0,4,2,2,1,7,0.0,0.0,0.0,4,0
R00163,3.0,0.0,0.0,0,0,3,2,1,1,4,0.0,0.0,0.0,4,2
R00164,3.0,0.0,0.0,0,0,2,2,2,1,1,4.0,402.0,525.0,2,2
R00165,3.0,0.0,0.0,0,0,2,2,2,1,2,0.0,0.0,0.0,4,3
R00166,3.0,0.0,0.0,0,0,3,2,1,1,1,2.0,402.0,60.0,3,2
R00167,3.0,0.0,0.0,0,0,3,2,1,1,3,0.0,0.0,0.0,4,1
R00168,3.0,0.0,0.0,0,0,3,2,1,1,8,2.0,402.0,500.0,2,2
R00169,3.0,0.0,0.0,0,0,3,2,1,1,4,0.0,0.0,0.0,4,4
R00170,3.0,0.0,0.0,0,0,3,2,2,1,5,2.0,402.0,40.0,1,0
R00171,3.0,0.0,0.0,0,0,3,2,1,1,4,0.0,0.0,0.0,4,4
R00172,3.0,0.0,0.0,0,0,3,8,1,1,5,4.0,402.0,525.0,2,0
R00173,3.0,0.0,0.0,0,0,2,2,1,1,4,0.0,0.0,0.0,4,4
R00174,3.0,0.0,0.0,0,0,2,2,1,1,5,0.0,0.0,0.0,4,0
R00175,3.0,0.0,0.0,0,0,3,2,2,1,10,2.0,501.0,30.0,1,0
R00176,3.0,0.0,0.0,0,0,2,2,2,1,3,0.0,0.0,0.0,4,2
R00177,3.0,0.0,0.0,0,0,2,2,1,1,4,0.0,0.0,0.0,4,0
R00178,3.0,0.0,0.0,0,0,2,2,2,6,10,0.0,0.0,0.0,4,0
R00179,5.0,0.0,0.0,0,0,3,2,2,1,4,7.0,409.0,18.0,1,4
R00180,3.0,0.0,0.0,0,0,2,8,2,1,3,0.0,0.0,0.0,4,3
R00181,3.0,0.0,0.0,0,0,4,2,2,1,2,4.0,402.0,0.0,1,3
R00182,3.0,0.0,0.0,0,0,3,2,1,1,5,0.0,0.0,0.0,4,0
R00183,3.0,0.0,0.0,0,0,2,2,1,1,5,0.0,0.0,0.0,4,0
R00184,3.0,0.0,0.0,0,0,2,2,1,1,4,0.0,0.0,0.0,4,0
R00185,3.0,0.0,0.0,0,0,4,2,1,1,2,0.0,0.0,0.0,4,2
R00186,3.0,0.0,0.0,0,0,3,2,2,1,2,2.0,402.0,60.0,3,3
R00187,3.0,0.0,0.0,0,0,2,2,1,1,4,0.0,0.0,0.0,4,4
R00188,3.0,0.0,0.0,0,0,2,2,1,1,3,0.0,0.0,0.0,4,3
R00189,3.0,0.0,0.0,0,0,4,2,1,1,4,2.0,402.0,40.0,1,0
R00190,3.0,0.0,0.0,0,0,4,2,1,1,4,0.0,0.0,0.0,4,4
R00191,3.0,0.0,0.0,0,0,2,2,1,1,3,0.0,0.0,0.0,4,1
R00192,3.0,0.0,0.0,0,0,2,2,1,1,3,0.0,0.0,0.0,4,2
R00193,3.0,0.0,0.0,0,0,3,2,1,8,5,0.0,0.0,0.0,4,0
R00194,3.0,0.0,0.0,0,0,3,2,1,1,2,2.0,402.0,90.0,3,3
R00195,3.0,0.0,0.0,0,0,4,2,1,1,2,0.0,0.0,0.0,4,3
R00196,3.0,0.0,0.0,0,0,2,2,1,1,3,0.0,0.0,0.0,4,2
R00197,3.0,0.0,0.0,0,0,3,2,1,1,2,2.0,402.0,310.0,2,3
R00198,3.0,0.0,0.0,0,0,3,2,1,1,5,0.0,0.0,0.0,4,0
R00199,3.0,0.0,0.0,0,0,3,2,1,1,2,0.0,0.0,0.0,4,3
R00200,3.0,0.0,0.0,0,0,2,2,1,1,4,0.0,0.0,0.0,4,0
R00201,3.0,0.0,0.0,0,0,4,2,1,1,3,0.0,0.0,0.0,4,1
R00202,5.0,0.0,0.0,0,0,3,2,1,1,2,0.0,0.0,0.0,4,3
R00203,3.0,0.0,0.0,0,0,3,2,1,1,4,0.0,0.0,0.0,4,4
R00204,3.0,0.0,0.0,0,0,3,2,1,1,2,0.0,0.0,0.0,4,3
R00205,3.0,0.0,0.0,0,0,3,8,1,1,4,2.0,402.0,90.0,3,2
R00206,3.0,0.0,0.0,0,0,4,2,1,1,2,0.0,0.0,0.0,4,3
R00207,3.0,0.0,0.0,0,0,2,2,1,1,5,0.0,0.0,0.0,4,2
R00208,3.0,0.0,0.0,0,0,4,2,1,8,4,0.0,0.0,0.0,4,4
R00209,3.0,0.0,0.0,0,0,3,2,1,1,2,0.0,0.0,0.0,4,3
R00210,5.0,0.0,0.0,0,0,2,2,2,1,4,0.0,0.0,0.0,4,4
R00211,3.0,0.0,0.0,0,0,2,2,2,1,3,0.0,0.0,0.0,4,3
R00212,3.0,0.0,0.0,0,0,2,2,2,1,5,0.0,0.0,0.0,4,0
R00213,3.0,0.0,0.0,0,0,2,2,2,1,2,0.0,0.0,0.0,4,3
R00214,3.0,0.0,0.0,0,0,3,2,1,1,4,5.0,402.0,800.0,2,0
R00215,3.0,0.0,0.0,0,0,3,2,1,4,2,0.0,0.0,0.0,4,3
R00216,3.0,0.0,0.0,0,0,3,2,2,1,4,0.0,0.0,0.0,4,4
R00217,3.0,0.0,0.0,0,0,3,2,1,1,3,4.0,402.0,150.0,3,2
R00218,3.0,0.0,0.0,0,0,3,2,2,1,5,0.0,0.0,0.0,4,0
R00219,3.0,0.0,0.0,0,0,3,2,2,1,5,0.0,0.0,0.0,4,0
R00220,3.0,0.0,0.0,0,0,4,2,1,7,3,0.0,0.0,0.0,4,2
R00221,3.0,0.0,0.0,0,0,2,2,2,1,5,0.0,0.0,0.0,4,1
R00222,3.0,0.0,0.0,0,0,3,2,1,1,3,4.0,402.0,32.0,1,0
R00223,3.0,0.0,0.0,0,0,3,2,2,1,4,0.0,0.0,0.0,4,4
R00224,3.0,0.0,0.0,0,0,3,2,1,1,5,0.0,0.0,0.0,4,0
R00225,3.0,0.0,0.0,0,0,3,2,2,1,4,2.0,100.0,200.0,3,0
R00226,3.0,20.0,20.0,0,0,2,2,1,1,4,0.0,0.0,0.0,4,2
R00227,3.0,0.0,0.0,0,0,3,2,1,1,8,5.0,100.0,1600.0,0,0
R00228,3.0,0.0,0.0,0,0,2,2,1,1,2,0.0,0.0,0.0,4,3
R00229,3.0,0.0,0.0,0,0,3,2,2,1,4,2.0,402.0,40.0,1,2
R00230,3.0,0.0,0.0,0,0,3,2,2,1,5,2.0,100.0,100.0,3,0
R00231,3.0,0.0,0.0,0,0,2,2,1,1,3,2.0,402.0,500.0,2,1
R00232,3.0,0.0,0.0,0,0,4,2,2,1,4,0.0,0.0,0.0,4,4
R00233,3.0,0.0,0.0,0,0,3,8,1,0,4,2.0,402.0,90.0,3,0
R00234,3.0,0.0,0.0,0,0,4,2,1,1,8,0.0,0.0,0.0,4,0
R00235,3.0,0.0,0.0,0,0,4,2,1,1,6,0.0,0.0,0.0,4,0
R00236,3.0,0.0,0.0,0,0,4,2,1,1,5,5.0,402.0,300.0,3,0
R00237,3.0,0.0,0.0,0,0,4,2,1,1,6,2.0,100.0,145.0,3,0
R00238,3.0,0.0,0.0,0,0,4,2,1,8,4,0.0,0.0,0.0,4,4
R00239,3.0,0.0,0.0,0,0,4,2,2,1,4,0.0,0.0,0.0,4,4
R00240,3.0,0.0,0.0,0,0,4,2,2,1,4,4.0,402.0,525.0,2,0
R00241,3.0,0.0,0.0,0,0,2,2,1,8,6,9.0,601.0,120.0,3,0
R00242,3.0,0.0,0.0,0,0,4,2,2,1,6,2.0,100.0,270.0,3,0
R00243,3.0,0.0,0.0,0,0,3,2,1,4,3,0.0,0.0,0.0,4,2
R00244,3.0,0.0,0.0,0,0,3,2,1,1,2,0.0,0.0,0.0,4,3
R00245,3.0,0.0,0.0,0,0,3,2,2,8,5,2.0,402.0,41.0,1,0
R00246,3.0,0.0,0.0,0,0,2,2,2,1,4,0.0,0.0,0.0,4,3
R00247,3.0,0.0,0.0,0,0,2,2,2,1,2,0.0,0.0,0.0,4,3
R00248,3.0,0.0,0.0,0,0,2,2,2,1,2,2.0,402.0,500.0,2,3
R00249,3.0,0.0,0.0,0,0,2,2,1,1,4,0.0,0.0,0.0,4,4
R00250,3.0,0.0,0.0,0,0,2,2,1,1,4,0.0,0.0,0.0,4,4
R00251,3.0,0.0,0.0,0,0,2,2,2,1,4,0.0,0.0,0.0,4,4
R00252,3.0,0.0,0.0,0,0,2,2,2,1,2,0.0,0.0,0.0,4,3
R00253,3.0,0.0,0.0,0,0,3,2,0,1,4,2.0,402.0,390.0,2,4
R00254,3.0,0.0,0.0,0,0,3,8,1,1,3,0.0,0.0,0.0,4,3
R00255,3.0,0.0,0.0,0,0,4,2,0,1,4,2.0,402.0,250.0,3,0
R00256,3.0,0.0,0.0,0,0,2,2,2,1,2,2.0,402.0,10.0,1,3
R00257,3.0,0.0,0.0,0,0,3,8,1,1,3,2.0,402.0,590.0,2,3
R00258,3.0,0.0,0.0,0,0,4,2,2,1,4,2.0,402.0,120.0,3,2
R00259,3.0,0.0,0.0,0,0,2,2,2,1,6,0.0,0.0,0.0,4,0
R00260,3.0,0.0,0.0,0,0,4,2,1,1,4,0.0,0.0,0.0,4,0
R00261,3.0,0.0,0.0,0,0,2,2,2,1,4,0.0,0.0,0.0,4,4
R00262,3.0,0.0,0.0,0,0,3,2,1,1,5,4.0,402.0,150.0,3,0
R00263,3.0,0.0,0.0,0,0,4,2,1,6,5,0.0,0.0,0.0,4,0
R00264,3.0,0.0,0.0,0,0,2,7,2,1,2,5.0,402.0,950.0,2,4
R00265,3.0,0.0,0.0,0,0,3,2,1,1,5,0.0,0.0,0.0,4,0
R00266,3.0,0.0,0.0,0,0,3,2,1,1,2,0.0,0.0,0.0,4,3
R00267,3.0,0.0,0.0,0,0,2,2,1,1,2,0.0,0.0,0.0,4,3
R00268,3.0,0.0,0.0,0,0,2,2,1,1,2,2.0,402.0,20.0,1,3
R00269,3.0,0.0,0.0,0,0,3,2,1,1,5,2.0,402.0,90.0,3,2
R00270,3.0,0.0,0.0,0,0,3,2,1,1,6,0.0,0.0,0.0,4,0
R00271,3.0,0.0,0.0,0,0,2,2,1,1,5,2.0,514.0,20.0,1,0
R00272,3.0,0.0,0.0,0,0,4,2,2,1,3,0.0,0.0,0.0,4,1
R00273,3.0,0.0,0.0,0,0,4,2,1,1,7,9.0,515.0,9.0,1,0
R00274,3.0,0.0,0.0,0,0,3,2,1,1,3,0.0,0.0,0.0,4,3
R00275,3.0,0.0,0.0,0,0,3,2,1,1,2,9.0,402.0,20.0,1,3
R00276,3.0,0.0,0.0,0,0,3,2,1,1,2,0.0,0.0,0.0,4,3
R00277,3.0,0.0,0.0,0,0,3,2,2,1,5,0.0,0.0,0.0,4,0
R00278,3.0,0.0,0.0,0,0,2,2,1,1,1,2.0,402.0,90.0,3,3
R00279,3.0,0.0,0.0,0,0,4,2,2,1,5,0.0,0.0,0.0,4,0
R00280,3.0,0.0,0.0,0,0,4,2,1,1,3,2.0,100.0,145.0,3,2
R00281,3.0,0.0,0.0,0,0,3,2,1,7,3,0.0,0.0,0.0,4,2
R00282,3.0,0.0,0.0,0,0,4,2,1,1,5,0.0,0.0,0.0,4,2
R00283,3.0,0.0,0.0,0,0,3,2,1,1,2,2.0,402.0,60.0,3,3
R00284,3.0,0.0,0.0,0,0,3,2,2,1,5,0.0,0.0,0.0,4,0
R00285,3.0,0.0,0.0,0,0,2,2,2,1,6,4.0,100.0,40.0,1,0
R00286,3.0,5.0,0.0,0,0,3,2,1,1,5,0.0,0.0,0.0,4,0
R00287,3.0,0.0,0.0,0,0,3,2,1,8,4,0.0,0.0,0.0,4,4
R00288,3.0,0.0,0.0,0,0,3,2,1,8,5,2.0,100.0,145.0,3,2
R00289,3.0,0.0,0.0,0,0,3,2,2,1,5,0.0,0.0,0.0,4,0
R00290,3.0,0.0,0.0,0,0,4,2,1,1,6,0.0,0.0,0.0,4,0
R00291,3.0,0.0,0.0,0,0,4,2,1,1,4,9.0,601.0,120.0,3,4
R00292,3.0,0.0,0.0,0,0,4,2,1,1,2,2.0,514.0,20.0,1,3
R00293,3.0,0.0,0.0,0,0,2,2,1,1,4,0.0,0.0,0.0,4,4
R00294,3.0,0.0,0.0,0,0,4,2,1,1,5,0.0,0.0,0.0,4,0
R00295,3.0,0.0,0.0,0,0,3,2,2,1,3,2.0,402.0,310.0,2,4
R00296,3.0,0.0,0.0,0,0,4,2,2,1,8,0.0,0.0,0.0,4,0
R00297,3.0,0.0,0.0,0,0,3,2,2,1,3,0.0,0.0,0.0,4,1
R00298,3.0,0.0,0.0,0,0,2,2,1,1,3,4.0,402.0,150.0,3,4
R00299,3.0,0.0,0.0,0,0,4,2,1,1,2,0.0,0.0,0.0,4,2
R00300,3.0,0.0,0.0,0,0,3,2,1,1,4,2.0,402.0,41.0,1,2
