resume_seq,reg_date,updated_date,degree,graduate_date,hope_salary,last_salary,job_code_seq1,career_month,career_job_code,hischool_type_seq,hischool_special_type,hischool_nation,hischool_gender,hischool_location_seq,univ_type_seq1,univ_type_seq2,univ_transfer,univ_location,univ_major_type,univ_score,language,score,job,certificate_cnt,career,num_ng,user_preferred_location,task1,task2,task3,task4,task5,task6,task7
U00012,14,6,4,1,0.0,4.0,7,101,4,0,0,1,0,5,0,0,0,0,23,3,0.0,0.0,5,5,4~6년,38,3.0,1,34,0,1,2,0,0
U00013,19,0,4,1,3.0,2.0,7,42,0,2,4,0,1,4,5,5,0,17,9,2,0.0,0.0,5,2,1~3년,2,3.0,0,2,0,0,0,0,0
U00014,20,11,4,0,2.0,2.0,7,12,4,20,3,0,1,18,5,5,0,10,4,2,0.0,0.0,5,4,신입,10,3.0,0,8,0,0,2,0,0
U00015,20,3,4,1,1.0,1.0,7,3,4,21,1,0,1,5,5,5,0,3,9,4,0.0,0.0,0,3,신입,3,3.0,2,1,0,0,0,0,0
U00016,20,10,4,1,1.0,0.0,7,0,4,0,0,1,0,0,5,5,0,6,5,4,0.0,0.0,1,1,신입,4,3.0,0,3,0,0,1,0,0
U00017,8,8,4,1,6.0,5.0,7,135,4,21,1,0,2,5,5,5,0,3,4,3,0.0,0.0,0,3,7~9년,4,3.0,0,2,0,1,1,0,0
U00018,8,5,4,1,7.0,6.0,7,163,4,21,1,2,2,3,5,5,0,5,3,3,0.0,0.0,10,4,7~9년,3,3.0,0,3,0,0,0,0,0
U00019,20,4,4,1,4.0,3.0,7,60,4,21,1,2,3,3,0,0,0,0,9,4,0.0,0.0,8,0,1~3년,11,3.0,0,10,0,0,1,0,0
U00020,20,5,4,1,0.0,2.0,7,20,2,0,0,1,0,0,5,5,0,17,5,3,0.0,0.0,6,1,신입,3,3.0,0,3,0,0,0,0,0
U00021,14,4,4,3,0.0,0.0,7,144,2,8,4,0,1,0,5,5,0,11,8,2,0.0,0.0,10,0,7~9년,11,3.0,0,11,0,0,0,0,0
U00022,19,4,4,1,3.0,3.0,7,39,2,21,1,0,1,5,5,5,0,17,9,1,0.0,0.0,7,0,1~3년,2,3.0,0,2,0,0,0,0,0
U00023,20,2,4,0,3.0,3.0,7,36,1,21,1,0,1,3,0,0,0,0,5,3,0.0,0.0,0,0,신입,5,3.0,0,5,0,0,0,0,0
U00024,19,6,4,1,0.0,0.0,7,0,4,21,1,2,2,17,3,5,0,10,15,3,0.0,0.0,10,0,신입,2,3.0,0,2,0,0,0,0,0
U00025,20,7,4,1,0.0,0.0,7,43,2,21,1,2,3,3,0,0,0,0,16,2,0.0,0.0,8,4,1~3년,6,3.0,0,5,0,0,1,0,0
U00026,20,9,4,1,3.0,3.0,7,67,4,21,1,2,2,15,5,5,0,5,3,3,0.0,0.0,7,0,1~3년,3,3.0,0,3,0,0,0,0,0
U00027,17,3,4,0,0.0,0.0,7,0,1,21,1,0,1,3,5,5,0,15,9,3,0.0,0.0,0,2,신입,21,3.0,0,16,0,1,4,0,0
U00028,17,5,4,1,0.0,0.0,7,29,3,19,3,0,1,17,5,5,0,3,9,2,0.0,0.0,5,0,신입,3,3.0,0,3,0,0,0,0,0
U00029,16,2,4,1,0.0,4.0,7,92,4,21,1,2,3,17,5,10,0,5,9,4,0.0,0.0,5,0,4~6년,5,3.0,0,5,0,0,0,0,0
U00030,20,9,4,1,2.0,0.0,7,40,1,21,1,2,3,3,5,5,0,3,9,2,0.0,0.0,5,1,1~3년,3,3.0,0,2,0,0,1,0,0
U00031,19,0,4,0,0.0,0.0,7,17,2,21,1,0,1,5,5,5,0,17,9,3,0.0,0.0,0,1,신입,6,3.0,0,5,0,0,1,0,0
U00032,17,2,4,1,0.0,3.0,7,56,4,21,1,2,3,3,5,5,0,3,9,3,0.0,0.0,0,1,1~3년,7,3.0,0,7,0,0,0,0,0
U00033,19,5,4,1,0.0,0.0,7,0,1,21,1,0,3,12,5,5,0,5,19,2,0.0,0.0,0,5,신입,6,3.0,0,5,0,0,1,0,0
U00034,20,1,4,0,3.0,3.0,7,0,4,0,0,1,0,0,0,0,0,0,9,2,0.0,0.0,5,2,신입,2,3.0,0,2,0,0,0,0,0
U00035,19,2,4,0,1.0,1.0,7,0,4,21,1,0,3,11,5,5,0,11,9,1,0.0,0.0,5,0,신입,7,3.0,0,6,0,1,0,0,0
U00036,13,3,4,1,3.0,3.0,7,88,4,21,1,2,1,4,5,5,0,18,9,2,0.0,0.0,9,1,4~6년,6,3.0,0,6,0,0,0,0,0
U00037,13,6,4,1,0.0,2.0,7,68,4,21,1,0,1,5,5,5,0,3,0,2,0.0,0.0,10,0,1~3년,3,3.0,0,3,0,0,0,0,0
U00038,12,4,4,0,0.0,0.0,7,84,2,21,1,0,2,13,5,5,0,17,9,2,0.0,0.0,0,5,4~6년,47,3.0,0,43,0,2,2,0,0
U00039,18,3,4,1,0.0,1.0,4,21,3,21,1,0,3,10,3,5,0,10,19,3,2.0,1.0,0,2,신입,6,3.0,0,5,0,0,1,0,0
U00040,20,0,3,0,0.0,0.0,7,0,4,21,2,2,2,3,3,6,0,3,8,4,0.0,0.0,5,1,신입,5,3.0,1,4,0,0,0,0,0
U00041,11,4,4,2,0.0,6.0,7,152,4,21,2,2,2,10,3,5,0,10,10,2,0.0,0.0,9,1,7~9년,11,3.0,0,11,0,0,0,0,0
U00042,17,3,4,1,0.0,0.0,7,75,5,21,1,2,3,15,5,5,0,15,4,2,0.0,0.0,0,4,4~6년,7,3.0,0,7,0,0,0,0,0
U00043,20,2,4,1,0.0,2.0,7,24,4,21,1,0,1,5,0,0,0,0,9,3,0.0,0.0,10,1,신입,3,3.0,1,2,0,0,0,0,0
U00044,17,3,4,1,4.0,3.0,7,120,4,21,1,2,3,11,5,5,0,11,19,4,0.0,0.0,9,0,7~9년,4,3.0,0,4,0,0,0,0,0
U00045,18,3,2,0,0.0,0.0,7,36,3,21,1,0,1,3,5,5,0,3,9,4,0.0,0.0,5,0,신입,4,3.0,0,3,0,1,0,0,0
U00046,10,2,4,2,4.0,4.0,2,130,2,0,0,1,0,0,5,5,0,3,3,3,0.0,0.0,1,1,7~9년,3,3.0,0,3,0,0,0,0,0
U00047,20,7,4,1,3.0,4.0,2,60,2,21,1,0,1,3,5,5,0,5,3,3,0.0,0.0,9,0,1~3년,2,3.0,0,2,0,0,0,0,0
U00048,16,3,4,2,0.0,3.0,7,87,4,21,1,2,3,18,5,5,0,10,4,4,0.0,0.0,0,1,4~6년,14,3.0,0,14,0,0,0,0,0
U00049,18,3,2,0,0.0,0.0,7,12,4,21,1,0,1,12,5,5,0,12,19,3,0.0,0.0,0,5,신입,11,3.0,0,11,0,0,0,0,0
U00050,12,8,4,1,2.0,2.0,7,72,1,0,0,1,0,18,0,0,0,0,9,1,0.0,0.0,9,1,1~3년,41,3.0,0,40,0,0,1,0,0
U00051,18,11,4,2,0.0,4.0,7,120,1,21,2,0,2,6,3,5,0,6,8,2,0.0,0.0,9,2,7~9년,12,3.0,0,12,0,0,0,0,0
U00052,14,7,4,1,0.0,0.0,7,42,5,0,0,1,0,13,5,10,0,5,9,4,0.0,0.0,0,4,1~3년,13,3.0,0,10,0,0,3,0,0
U00053,17,9,4,0,0.0,3.0,7,48,4,21,1,2,3,5,0,0,0,0,4,2,0.0,0.0,10,4,1~3년,2,3.0,0,2,0,0,0,0,0
U00054,16,10,3,1,0.0,3.0,7,99,2,21,1,2,3,3,0,0,0,0,4,3,2.0,1.0,0,1,4~6년,20,3.0,0,19,0,1,0,0,0
U00055,13,1,4,3,3.0,3.0,2,194,1,8,4,2,2,3,3,5,0,3,6,4,0.0,0.0,9,2,10~15년,2,3.0,0,2,0,0,0,0,0
U00056,16,4,4,1,2.0,2.0,7,72,4,21,1,0,1,7,3,5,0,7,19,2,0.0,0.0,5,1,1~3년,2,3.0,0,1,0,1,0,0,0
U00057,19,10,4,3,0.0,4.0,7,180,4,21,1,2,2,3,5,5,0,5,17,2,0.0,0.0,5,1,7~9년,9,3.0,0,9,0,0,0,0,0
U00058,19,9,3,0,0.0,2.0,7,30,4,21,1,0,3,13,5,7,0,3,9,4,0.0,0.0,5,0,신입,2,3.0,0,2,0,0,0,0,0
U00059,16,2,4,1,3.0,2.0,7,84,4,21,1,2,3,3,5,5,0,3,9,1,0.0,0.0,7,2,4~6년,2,3.0,0,2,0,0,0,0,0
U00060,19,1,4,1,0.0,2.0,7,41,3,0,0,1,0,0,5,5,0,15,20,1,0.0,0.0,1,1,1~3년,2,3.0,0,2,0,0,0,0,0
U00061,20,9,4,1,3.0,3.0,7,70,2,21,1,0,1,5,5,5,0,5,3,2,0.0,0.0,7,1,1~3년,11,3.0,0,11,0,0,0,0,0
U00062,19,1,4,2,0.0,0.0,7,207,4,21,1,0,1,3,5,5,0,17,13,3,0.0,0.0,7,2,10~15년,6,3.0,0,6,0,0,0,0,0
U00063,16,6,4,1,2.0,2.0,2,36,1,21,1,2,1,5,5,5,0,3,9,2,0.0,0.0,4,4,신입,2,3.0,0,2,0,0,0,0,0
U00064,16,0,4,2,0.0,7.0,7,192,4,21,1,2,3,13,5,5,0,3,5,1,0.0,0.0,5,0,10~15년,5,3.0,0,5,0,0,0,0,0
U00065,19,8,5,1,0.0,2.0,7,33,5,21,1,2,3,0,5,5,0,8,0,2,0.0,0.0,3,3,신입,2,3.0,0,2,0,0,0,0,0
U00066,20,2,4,1,2.0,1.0,4,24,3,21,1,0,1,18,3,5,0,7,9,2,0.0,0.0,5,0,신입,11,3.0,0,11,0,0,0,0,0
U00067,19,1,4,1,0.0,0.0,7,5,4,21,1,2,3,3,5,5,0,5,9,2,2.0,3.0,0,3,신입,6,3.0,0,6,0,0,0,0,0
U00068,19,5,4,0,4.0,5.0,7,88,4,21,1,0,1,3,5,10,0,3,9,3,0.0,0.0,5,0,4~6년,3,3.0,0,3,0,0,0,0,0
U00069,19,3,4,0,0.0,0.0,7,0,3,21,1,2,3,3,5,5,0,3,9,1,2.0,1.0,5,0,신입,3,3.0,0,3,0,0,0,0,0
U00070,19,2,4,1,0.0,0.0,7,0,4,21,1,2,3,9,0,0,0,0,9,3,0.0,0.0,0,0,신입,2,3.0,0,1,0,0,1,0,0
U00071,17,10,4,1,0.0,2.0,7,49,4,21,1,2,3,3,5,5,0,5,9,2,0.0,0.0,5,1,1~3년,2,3.0,0,2,0,0,0,0,0
U00072,20,5,4,1,0.0,0.0,7,52,4,21,1,0,1,5,5,5,0,3,4,2,0.0,0.0,5,0,1~3년,2,3.0,0,2,0,0,0,0,0
U00073,16,5,4,1,3.0,3.0,7,74,4,0,0,1,0,0,5,5,0,17,3,2,0.0,0.0,10,0,4~6년,27,3.0,0,27,0,0,0,0,0
U00074,20,9,4,1,0.0,3.0,7,29,5,8,4,2,2,3,5,5,0,3,4,3,0.0,0.0,7,1,신입,17,3.0,0,17,0,0,0,0,0
U00075,19,2,4,1,2.0,2.0,7,32,3,0,0,1,0,0,5,5,0,10,9,1,0.0,0.0,5,1,신입,3,3.0,0,3,0,0,0,0,0
U00076,20,9,4,0,2.0,2.0,7,0,4,21,1,2,2,10,3,5,0,18,9,3,0.0,0.0,0,0,신입,5,3.0,0,1,0,1,3,0,0
U00077,18,2,4,1,0.0,1.0,7,36,4,21,1,0,1,11,0,0,0,0,9,2,0.0,0.0,5,0,신입,8,3.0,0,8,0,0,0,0,0
U00078,20,10,4,0,2.0,2.0,7,7,4,19,3,0,1,8,5,5,0,8,9,4,0.0,0.0,5,0,신입,2,3.0,0,1,0,1,0,0,0
U00079,20,11,4,1,2.0,1.0,7,6,4,21,1,0,3,10,3,5,0,10,19,2,2.0,3.0,0,3,신입,3,3.0,0,3,0,0,0,0,0
U00080,20,5,4,0,0.0,0.0,7,0,2,21,1,2,3,5,5,5,0,3,3,2,2.0,1.0,1,3,신입,3,3.0,0,3,0,0,0,0,0
U00081,17,8,4,1,3.0,3.0,7,85,4,21,1,2,1,14,3,5,0,14,3,3,0.0,0.0,9,1,4~6년,8,3.0,0,8,0,0,0,0,0
U00082,19,7,4,0,0.0,0.0,7,11,4,0,0,1,0,0,5,5,0,3,4,3,0.0,0.0,0,2,신입,2,3.0,0,2,0,0,0,0,0
U00083,19,6,4,2,3.0,3.0,7,120,4,21,1,0,2,15,3,5,0,15,10,1,0.0,0.0,9,2,7~9년,6,3.0,0,6,0,0,0,0,0
U00084,20,11,5,1,0.0,0.0,7,9,4,21,1,0,3,6,0,0,0,0,10,1,0.0,0.0,5,3,신입,11,3.0,1,9,0,0,1,0,0
U00085,18,2,4,2,0.0,0.0,7,150,4,0,0,1,0,0,0,0,0,0,9,1,0.0,0.0,5,0,7~9년,3,3.0,0,3,0,0,0,0,0
U00086,17,8,4,2,0.0,4.0,7,132,4,0,0,1,0,0,5,5,0,3,5,3,0.0,0.0,7,0,7~9년,3,3.0,0,3,0,0,0,0,0
U00087,14,7,4,1,3.0,3.0,2,68,4,21,1,0,1,5,5,5,0,3,5,3,2.0,1.0,1,1,1~3년,2,3.0,0,2,0,0,0,0,0
U00088,19,4,4,1,0.0,2.0,7,51,4,21,2,0,1,10,5,5,0,3,9,4,0.0,0.0,5,0,1~3년,2,3.0,0,0,0,2,0,0,0
U00089,20,11,4,0,0.0,0.0,7,18,3,21,1,0,2,11,5,5,0,11,9,3,0.0,0.0,5,4,신입,3,3.0,0,3,0,0,0,0,0
U00090,20,5,4,3,4.0,4.0,7,252,4,0,0,1,0,0,3,5,0,18,23,2,0.0,0.0,9,0,16년~20년,8,3.0,0,8,0,0,0,0,0
U00091,20,10,4,2,0.0,5.0,7,171,4,21,1,2,1,3,5,5,0,5,13,3,0.0,0.0,10,1,7~9년,2,3.0,0,2,0,0,0,0,0
U00092,16,3,4,1,0.0,2.0,7,60,3,21,1,0,1,3,5,5,0,5,0,1,0.0,0.0,5,2,1~3년,6,3.0,0,6,0,0,0,0,0
U00093,20,4,4,0,2.0,1.0,7,5,4,21,1,0,3,5,5,5,0,5,9,3,0.0,0.0,5,2,신입,2,3.0,0,1,0,0,1,0,0
U00094,20,11,4,1,0.0,4.0,7,99,1,21,1,0,2,5,5,5,0,5,9,2,0.0,0.0,5,2,4~6년,2,3.0,0,2,0,0,0,0,0
U00095,20,5,4,0,0.0,0.0,7,15,2,21,1,2,3,9,5,5,0,9,9,3,0.0,0.0,3,0,신입,2,3.0,0,2,0,0,0,0,0
U00096,7,5,4,1,0.0,6.0,7,157,4,21,1,0,3,18,3,5,0,10,0,2,0.0,0.0,0,1,7~9년,34,3.0,0,34,0,0,0,0,0
U00097,20,4,4,1,0.0,2.0,7,41,1,21,1,2,3,3,5,5,0,4,8,3,2.0,2.0,10,5,1~3년,8,3.0,0,8,0,0,0,0,0
U00098,17,0,4,1,0.0,0.0,7,64,4,21,2,2,1,3,5,5,0,3,3,2,0.0,0.0,9,2,1~3년,2,3.0,0,1,0,0,1,0,0
U00099,20,9,4,1,2.0,1.0,7,14,2,0,0,1,0,3,5,5,0,3,9,3,0.0,0.0,0,0,신입,3,3.0,0,3,0,0,0,0,0
U00100,20,0,4,2,4.0,4.0,7,148,4,20,3,2,1,3,5,5,0,3,19,3,0.0,0.0,10,0,7~9년,4,3.0,0,4,0,0,0,0,0
U00101,20,8,4,0,0.0,1.0,7,4,4,21,1,0,2,13,5,5,0,13,19,2,2.0,2.0,0,4,신입,3,3.0,0,2,0,0,1,0,0
U00102,8,9,4,2,0.0,8.0,7,221,4,0,0,1,0,7,5,5,0,3,4,1,0.0,0.0,5,1,10~15년,2,3.0,0,2,0,0,0,0,0
U00103,13,10,4,1,8.0,6.0,7,168,4,21,1,2,1,3,5,5,0,3,9,2,0.0,0.0,5,1,7~9년,3,3.0,0,3,0,0,0,0,0
U00104,19,0,4,0,0.0,0.0,7,2,4,21,1,2,3,11,5,5,0,11,19,2,0.0,0.0,0,4,신입,2,3.0,0,0,0,0,2,0,0
U00105,19,4,4,2,5.0,5.0,7,222,1,21,1,0,1,7,5,5,0,7,17,2,0.0,0.0,7,2,10~15년,4,3.0,0,4,0,0,0,0,0
U00106,19,1,5,1,2.0,0.0,7,15,3,21,1,2,3,3,0,0,0,0,9,3,0.0,0.0,3,2,신입,3,3.0,0,3,0,0,0,0,0
U00107,20,10,4,1,0.0,3.0,7,39,4,21,1,2,3,3,5,5,0,3,9,1,0.0,0.0,0,2,1~3년,3,3.0,0,3,0,0,0,0,0
U00108,20,10,3,1,0.0,5.0,7,151,4,0,0,1,0,0,5,10,0,5,9,3,0.0,0.0,10,0,7~9년,3,3.0,0,3,0,0,0,0,0
U00109,19,0,4,0,0.0,0.0,7,0,4,21,1,2,1,5,5,5,0,3,9,1,0.0,0.0,1,3,신입,3,3.0,0,3,0,0,0,0,0
U00110,20,6,4,1,2.0,2.0,7,27,4,21,2,2,2,3,5,5,0,3,8,3,0.0,0.0,7,2,신입,5,3.0,0,5,0,0,0,0,0
U00111,19,2,4,1,1.0,1.0,7,0,4,21,1,0,1,3,0,0,0,0,9,4,2.0,1.0,5,1,신입,10,3.0,0,8,0,0,2,0,0
U00112,17,8,4,1,2.0,2.0,7,36,3,0,0,1,0,0,5,5,0,17,9,2,0.0,0.0,3,1,신입,3,3.0,0,3,0,0,0,0,0
U00113,19,8,4,1,0.0,2.0,7,29,1,21,1,0,2,5,5,5,0,3,9,3,0.0,0.0,7,1,신입,2,3.0,0,2,0,0,0,0,0
U00114,17,10,4,1,0.0,2.0,7,48,4,21,2,0,2,18,3,5,0,7,19,3,0.0,0.0,5,1,1~3년,3,3.0,0,3,0,0,0,0,0
U00115,18,3,4,1,0.0,2.0,2,12,1,21,1,0,3,13,5,5,0,5,8,3,0.0,0.0,4,2,신입,2,3.0,0,2,0,0,0,0,0
U00116,19,6,4,0,0.0,3.0,7,37,4,21,1,2,2,3,5,5,0,5,3,3,0.0,0.0,10,3,1~3년,5,3.0,0,5,0,0,0,0,0
U00117,8,10,4,2,6.0,6.0,2,194,1,21,1,0,1,3,5,5,0,3,13,2,0.0,0.0,10,2,10~15년,2,3.0,0,2,0,0,0,0,0
U00118,20,10,4,2,0.0,2.0,7,85,4,0,0,1,0,0,0,0,0,0,9,3,2.0,2.0,6,3,4~6년,2,3.0,0,2,0,0,0,0,0
U00119,17,0,4,0,0.0,2.0,7,36,4,21,1,2,1,5,4,5,0,13,4,1,0.0,0.0,0,2,신입,11,3.0,0,7,0,2,2,0,0
U00120,11,0,4,1,0.0,3.0,7,115,4,21,1,0,1,3,5,5,0,10,4,3,0.0,0.0,10,2,7~9년,13,3.0,0,13,0,0,0,0,0
U00121,15,4,4,1,3.0,2.0,7,55,4,21,1,2,3,10,5,5,0,11,20,2,0.0,0.0,0,0,1~3년,23,3.0,0,23,0,0,0,0,0
U00122,20,2,4,1,2.0,2.0,7,12,1,2,4,0,1,7,3,5,0,9,19,3,0.0,0.0,5,4,신입,5,3.0,0,4,0,0,1,0,0
U00123,12,2,4,1,0.0,3.0,7,108,4,0,0,1,0,0,5,5,0,18,19,4,0.0,0.0,5,0,4~6년,60,3.0,0,58,0,2,0,0,0
U00124,20,4,4,1,4.0,4.0,7,111,4,21,1,2,3,11,5,5,0,5,9,1,0.0,0.0,5,0,7~9년,5,3.0,0,5,0,0,0,0,0
U00125,20,3,4,1,1.0,1.0,7,41,4,0,0,1,0,7,0,0,0,0,7,3,0.0,0.0,9,0,1~3년,2,3.0,0,2,0,0,0,0,0
U00126,19,0,3,2,2.0,3.0,4,84,4,21,1,0,1,14,5,5,0,3,9,4,0.0,0.0,5,1,4~6년,5,3.0,0,5,0,0,0,0,0
U00127,15,1,4,2,3.0,3.0,7,144,4,21,1,0,3,4,5,5,0,4,5,2,0.0,0.0,1,1,7~9년,6,3.0,0,6,0,0,0,0,0
U00128,20,10,4,1,2.0,2.0,7,0,4,21,1,0,1,5,5,5,0,4,17,2,2.0,1.0,10,1,신입,3,3.0,0,3,0,0,0,0,0
U00129,19,2,4,1,0.0,2.0,7,26,3,0,0,1,0,0,0,0,0,0,9,2,0.0,0.0,1,0,신입,3,3.0,0,3,0,0,0,0,0
U00130,18,2,4,2,4.0,4.0,7,120,4,0,0,1,0,0,3,5,0,8,19,2,0.0,0.0,8,0,7~9년,11,3.0,0,9,0,2,0,0,0
U00131,0,7,5,3,0.0,0.0,7,300,4,21,1,2,3,3,5,5,0,3,9,3,0.0,0.0,1,0,21년 이상,3,3.0,0,2,0,0,0,1,0
U00132,17,0,4,2,2.0,2.0,2,103,4,21,1,2,3,3,5,5,0,3,3,2,0.0,0.0,1,1,4~6년,2,3.0,0,2,0,0,0,0,0
U00133,18,2,4,1,2.0,2.0,7,48,4,0,0,1,0,0,5,5,0,4,4,3,0.0,0.0,10,7,1~3년,4,3.0,0,4,0,0,0,0,0
U00134,19,10,4,1,0.0,0.0,7,36,4,21,1,0,1,12,5,5,0,11,4,2,0.0,0.0,5,0,신입,2,3.0,0,1,0,0,1,0,0
U00135,20,10,4,1,0.0,1.0,7,6,4,0,0,1,0,5,5,5,0,18,9,2,0.0,0.0,5,1,신입,3,3.0,0,3,0,0,0,0,0
U00136,20,9,4,0,0.0,0.0,7,0,4,21,1,0,3,18,5,5,0,3,5,1,0.0,0.0,0,4,신입,2,3.0,0,0,0,0,2,0,0
U00137,20,7,4,1,0.0,0.0,7,12,1,21,1,2,2,15,5,5,0,15,19,3,0.0,0.0,5,1,신입,3,3.0,0,3,0,0,0,0,0
U00138,20,7,3,1,0.0,0.0,7,0,2,21,1,0,2,5,5,10,0,5,0,3,0.0,0.0,10,2,신입,2,3.0,0,2,0,0,0,0,0
U00139,20,6,4,1,0.0,2.0,7,31,4,21,1,2,2,15,5,5,0,15,19,3,0.0,0.0,10,2,신입,2,3.0,0,2,0,0,0,0,0
U00140,17,11,3,1,0.0,1.0,7,14,4,0,0,1,0,0,0,0,0,0,9,1,0.0,0.0,5,0,신입,17,3.0,1,15,0,0,1,0,0
U00141,18,0,4,1,3.0,3.0,7,72,4,0,0,1,0,17,5,5,0,3,3,4,2.0,1.0,7,1,1~3년,10,3.0,0,10,0,0,0,0,0
U00142,18,8,5,1,3.0,2.0,7,38,3,21,1,0,1,3,5,5,0,3,9,3,0.0,0.0,5,1,1~3년,5,3.0,0,5,0,0,0,0,0
U00143,17,8,4,0,3.0,3.0,7,60,4,21,1,0,2,4,3,5,1,4,9,2,0.0,0.0,5,2,1~3년,2,3.0,0,2,0,0,0,0,0
U00144,20,10,4,1,2.0,2.0,7,33,4,21,1,0,1,3,5,5,0,5,9,1,0.0,0.0,5,1,신입,5,3.0,0,4,0,0,1,0,0
U00145,20,5,5,1,2.0,2.0,7,26,4,21,1,0,3,6,5,5,0,6,9,1,0.0,0.0,0,0,신입,3,3.0,0,3,0,0,0,0,0
U00146,18,0,4,1,2.0,0.0,7,10,4,21,1,0,1,5,5,5,0,3,9,2,0.0,0.0,6,1,신입,3,3.0,0,3,0,0,0,0,0
U00147,15,4,4,1,0.0,4.0,7,144,4,21,1,2,3,3,5,5,0,3,4,2,0.0,0.0,9,4,7~9년,7,3.0,0,7,0,0,0,0,0
U00148,20,10,3,0,0.0,2.0,7,35,4,21,1,0,2,3,5,5,0,3,9,3,0.0,0.0,0,1,신입,3,3.0,0,3,0,0,0,0,0
U00149,19,11,4,1,0.0,2.0,7,24,3,0,0,1,0,0,5,5,0,5,17,2,0.0,0.0,3,4,신입,17,3.0,0,17,0,0,0,0,0
U00150,19,5,4,1,0.0,0.0,7,8,5,0,0,1,0,3,5,5,0,5,3,3,0.0,0.0,0,6,신입,6,3.0,0,6,0,0,0,0,0
U00151,20,9,2,0,0.0,0.0,7,15,4,21,1,2,1,4,5,5,0,18,22,4,0.0,0.0,7,0,신입,2,3.0,0,2,0,0,0,0,0
U00152,18,1,4,1,4.0,3.0,7,84,4,21,1,0,3,17,5,5,0,3,4,2,2.0,1.0,0,3,4~6년,8,3.0,0,8,0,0,0,0,0
U00153,20,4,4,1,0.0,3.0,7,27,4,0,0,1,0,0,5,5,0,4,3,1,0.0,0.0,10,2,신입,2,3.0,0,2,0,0,0,0,0
U00154,9,3,4,1,0.0,3.0,7,75,4,21,1,2,3,3,5,5,0,3,4,1,0.0,0.0,5,2,4~6년,11,3.0,0,11,0,0,0,0,0
U00155,19,10,4,0,2.0,0.0,7,14,3,21,1,0,3,15,5,5,0,15,9,3,0.0,0.0,3,2,신입,5,3.0,0,4,0,0,1,0,0
U00156,20,5,5,1,0.0,0.0,7,18,2,21,2,0,2,11,0,0,0,0,9,4,0.0,0.0,1,0,신입,16,3.0,0,16,0,0,0,0,0
U00157,14,9,4,2,2.0,2.0,7,96,4,21,1,2,3,0,5,5,0,8,9,3,0.0,0.0,5,1,4~6년,2,3.0,0,2,0,0,0,0,0
U00158,20,6,4,0,0.0,1.0,7,0,4,21,1,2,3,7,5,5,0,7,9,1,0.0,0.0,5,2,신입,3,3.0,0,2,0,0,1,0,0
U00159,19,7,4,1,0.0,0.0,4,108,4,0,0,1,0,12,5,5,0,7,19,4,0.0,0.0,5,1,4~6년,12,3.0,0,12,0,0,0,0,0
U00160,12,8,4,1,0.0,0.0,7,70,4,21,1,2,1,3,5,5,0,3,9,1,0.0,0.0,5,5,1~3년,5,3.0,0,4,0,0,1,0,0
U00161,20,5,4,3,8.0,8.0,7,306,4,19,3,2,1,3,5,5,0,3,9,2,0.0,0.0,0,0,21년 이상,2,3.0,0,2,0,0,0,0,0
U00162,15,9,4,1,0.0,0.0,7,36,5,21,1,2,3,5,5,5,0,3,19,2,0.0,0.0,6,1,신입,4,3.0,0,3,0,0,1,0,0
